名称,摘要
利用苕子根茬免耕种植法,“利用苕子根茬免耕种植法”是一种农作物种植的耕作方法。本发明方法的要点在于采取苕子与其他作物免耕套种的耕作方式：夏季将苕子套播在其他作物中，作物成熟收获后留下苕子继续生长，播种其他作物前，将苕子地面部分每隔一定距离割去一带，把苕子根茬切碎耙平即可免耕带状套播；夏季复在行中套播苕子。本发明方法可以节省大量劳力、动力机械且解决土壤板结现象，提高农作物产量。
农业机械作业装置的升降结构,行走机体（１）的后部连接有作业装置（４）的农业机械的作业装置的升降结构，上述作业装置（４）的升降是通过油压缸（２）的伸缩引起四连杆机构（３）的升降而进行的，同时上述四连杆机构（３）左右分别具有一对上部连杆（７）和下部连杆（８）和后部纵连杆（９），其特征是所述油压缸（２）是跨接在连接上部连杆（７）和所述行走机体（１）的支点（Ｐ１）及连接所述后部纵连杆（９）和所述下部连杆（８）的支点（Ｐ４）之间，通过悬挂弹簧（１７）进行安装的；通过油压缸（２）的收缩，上述四连杆机构（３）上升，另一方面通过油压缸（２）的伸长，上述四连杆机构（３）下降。$＃!
多功能折叠锹,本发明提供了一种改进的多功能折叠锹，属于手动工具技术领域。它由锹体与手柄通过接头相接而成，其中锹体两侧分别具有刃口和锯齿，手柄柄体上下具有刻度，而接头由带有叉板的锹叉与柄套铰接构成，叉板上具有若干定位槽和燕尾槽及刃口，柄套上具有对应匹配的定位孔及刃口，通过旋转手柄使定位孔与凹槽配合锁定可改变手柄与锹体的角度从而使之集铲、挖、钩、剪、钳、扭、据、砍、锤、量等多种功能于一体，且可折叠，便于携带。$#!
乘坐式水田作业机,一种结构简单、操作性能好的水田作业机。在横向传动轴92的左右安装支撑侧向离合器96的驱动侧摩擦板的轮毂构件96A，并仅在一个侧向离合器96的轮毂构件96A上设置机体停止用制动装置99。该制动装置99由可与轮毂构件整体旋转安装的旋转侧摩擦板99a及相对于前述后轮轴箱体不能旋转地卡合支撑的固定侧摩擦板99b构成，与踏板的踩下操作连动，旋转侧摩擦板99a与固定侧摩擦板99b压接，把横向传动轴92制动。
乘坐型水田作业机,本发明提供一种乘坐型水田作业机，可在不损坏田地的情况下轻松地转弯，并且机体转弯和机体停止时的操作性优良。为了实现上述目的，在按照可将变速的动力传递给可转向的左右的前轮1与不能转向的左右后轮2的方式构成的乘坐式水田作业机中，对应于左右的后轮2，分别设置摩擦式的侧部离合器96，仅仅通过前轮(1)的转向，以及位于转弯内侧的其中一个侧部离合器96的分离操作，便可使机体转向。
头部取向可调节的草木修剪和整边器具,一种草木修剪和整边器具具有一可调节的头部，允许可选择地定位在修剪和整边取向之间。一长筒伸展在头部与一把柄之间。头部接纳长筒的一端。一联接机构联接头部和长筒，并锁定头部使之不围绕长筒转动。联接机构包括一锁定构件和一偏压机构、偏压机构促使锁定构件形成啮合以防止头部转动。不过，施加于头部的向下压力可克服偏压力并使锁定机构解除啮合以使头部转动在修剪与整边模式之间。
浅潜水滨海盐土地区暗管排盐方法,本发明涉及一种地下暗管排水技术，特别是一种浅潜水滨海盐土地区暗管排盐技术。该技术是由水平暗管的浅埋深度、地下水平暗管排水管路、地下(或地面)构筑提排泻水管路构成；地下水平暗管埋深在离地表0.6-1.5米处，地下水平暗管排水中的主排盐管和集水管采用二级正交网格或斜效人字型铺设，地下或地面构筑提排泻水管路由检查井和集水构成。该技术可有效治理盐碱地、防止土壤的生盐渍化和浅潜水淤泥质地区施工小滑坡和塌方。
多用旋耕刀,一种多用旋耕刀，主要用于解决现有旋耕刀入土阻力大，易簇拥禾草等缺点。其包括主旋耕刀、可作旋转的甩刀，该甩刀通过轴销设置于主旋耕刀上。本发明入土阻力小，碎土性能好，不会簇拥禾草，可以适应多种土况。
供耕作机使用的支撑支架,支撑支架(20)包括使其尺寸以使滑动杆(45)穿过其中插入的筒形部分(21)，和使其尺寸以容纳把手(40)的接收部分。该筒形部分和接收部分通过把一块单板弯成两半形成。该板包括在其中央形成的凹槽部分(51)，定位于所述的凹槽的右边和左边的右、左平板部分(36，34)，分别从右、左平板部分向外突出的右、左曲面部分(54，53)，及分别从右、左曲面部分向外突出的右、左连接部分(32，30)。此右、左平板部分分别包括右、左突出部分(37，35)。此右、左平板部分由此右、左突出部分加固。当此板被弯成两半时，平板部分就结合到一起，以把凹槽部分形成筒形部分。同时，曲面部分相互对置以提供接收部分。此外，连接部分以这样一种可以被连接到耕作机(10)的外壳(11)上的方式相互对置。
新型环保农耕微型垂直旋耕机用主旋耕刀具,本发明公开了一种新型环保农耕微型垂直旋耕机用主旋耕刀具，该机具由斜向碎土刀、垂直碎土刀、中心导管和法兰盘构成，在该机具上安装水平切割刀，可具兼除草机的功能，使其在工作时，一次可完成耕作、施肥、除草等多项工作，而且该机具可用在各种拖拉机使用。使用本发明新型环保农耕微型垂直旋耕机用主旋耕刀具，可耕作出一个剖面形状为下部梯形段接上方平行延伸段的作物种植行，作物种植行范围内的土壤得到精细疏松，在耕作的同时，将肥料送入作物种植行的底部，可使其与土壤充分混合，从而为作物提供一个适宜其生长的环境。本新型环保农耕微型垂直旋耕机用主旋耕刀具兼顾了对环境的保护，降低了耕作过程中的动力消耗以及对土壤的大力压实，因而具有广泛的应用前景。
耕耘机,一种耕耘机(10)，它包括：一发动机(11)；一传动机构(30)；一转轴(71)，在该转轴上安装有一些耕耘齿(75)。传动机构把发动机的动力传递给转轴，从而使耕耘齿执行耕耘操作。这种耕耘机还包括：一传动箱(40)，在该传动箱内容纳着所说的传动机构；一防护板(12)，用于盖住所说的这些耕耘齿。利用一些螺栓把防护板安装于传动箱上。每个螺栓都具有从防护板向下突出的一部分。这种耕耘机还包括一保护元件(81)，该保护元件从传动箱向下延伸至一个低于每个螺栓的所说突出部分的高度。保护元件保护着这些螺栓，使得在耕耘操作时被耕耘齿向上抛出的异物(As)不会砸击所说的这些螺栓。
手扶式轻便作业机具,机动除草机(1)之类的手扶式轻便作业机具有一个机架(2)，该机架基本上沿作业机具的纵向(21)延伸，并在其一端(22)上，固定一台驱动电动机(3)和一个由驱动电动机(3)驱动的除草工具，而在其相对的一端(23)上则至少固定了一个手柄(7，8)，以便操纵在运行中的作业机具。为了实现操作者的符合人机工程学的劳动姿势，手柄(7，8)在机动除草机的工作位置内离地面(42)向上伸出，在这个工作位置内，除草工具放在要除草的地面(42)上。
开沟机的限深装置,开沟机的限深装置，设有滑板，固定在竖轴的下端，竖轴连接在机架上，特征是滑板竖轴与机架连接的位置处于刀盘旋转半径之内。“刀盘旋转半径”指刀片尖端旋转时构成的最大圆圈。优化方案是开沟机机架为短机架，其前端处于刀盘旋转半径之内。本设计克服了现有技术的不足，使竖轴与机架离开了刀片的抛土路线，抛出的土块不再受阻挡，可均匀地撒到两边，并能保证其不掉到已开好的沟内。同时由于缩短机架，节约了材料，降低了成本。
