名称,摘要
牵引铲式马铃薯收获机,本发明提出一种牵引铲式马铃薯收获机，包括：用来牵引和安装下述四大部分的机架部分，可进行除秧、秧的收集并实现马铃薯的挖掘、分离、收集和堆放的工作部分，能使整机升起和降落、以满足运输和作业的需要、并可协助调整部分达到调整目的的升降部分，提供工作部分所需的转速和分离马铃薯所消耗动力的传动部分，可调整挖掘铲入土深浅度、入土适宜角度和保持左右入土深度一致的调整部分。以带液压装置的１５～２０马力拖拉机作为牵引力。其优点是：收获率高，破损率低，可实现机械化收获马铃薯。
收割作业机的车速控制装置,本发明提供一种收割作业机的车速控制装置，设有从当前的发动机转速减Δｔ秒之前的发动机转速后算出发动机转速变化量的变化量算出机构（１０２）；当前的发动机转速减去预先设定的发动机的设定转速后算出偏差的偏差算出机构（１０３）；及为减速而把减速量指示给变速装置的减速控制机构（１０１）。上述控制机构在上述偏差无论是正负当上述变化量是负值时就将减速量指示给上述变换装置，且变化量是负值时，其绝对值越大，将减速量设定得越大。$＃!
联合收割机,本发明提供一种能抑制承接支承收割主架（１２）载荷的支承部件挠曲、使收割主架（１２）的横滑动顺利进行的联合收割机，该收割机备有安装在收割机机身上的往复驱动部件（１０）和借助该往复驱动部件（１０）能绕横轴心（Ｘ）摆动且在横轴心（Ｘ）方向滑动的收割主架（１２），为了抑制承受收割主架（１２）载荷的支承部件的挠曲，使收割主架（１２）的横滑动顺利进行，还备有将往复驱动部件（１０）的动作传递给收割主架（１２）的摆动架（２１），该摆动架（２１）备有沿收割主架（１２）滑动行程延伸的横导引部（２３）和支承该横导引部（２３）的至少两端区域的支承部（２２），收割主架（１２）能在横导引部（２３）上滑动并由横导引部（２３）承接支承。
窄行摘棉机和为此设计的单行作业组件,一种摘棉机单行作业组件，该组件带有串联滚筒装置和通道室（１７０），通道室（１７０）的横截面从后支撑柱起基本保持不变，从而使吸取通道更加靠近棉花行中心线以缩窄组件的全宽。组件的窄度足以使其对行距小于３０英寸的棉花进行采摘。吸取通道的新位置使从后脱棉器（１４９）出来的棉花更直接地进入通道（１７４）。单行作业组件的摘棉滚筒有若干摘棉杆，每一摘棉杆有１４或１６个摘锭，这一设计缩减了组件的高度和重量，并且可以使用较短的扶茎器，由此还减小了组件的长度。一种装有摘棉机的双行拖拉机将这种窄行作业组件安装在拖拉机后部的导轨支撑装置上使用。可在导轨上对组件从侧面进行调整，以使其适用于不同的行距和种植方式，包括６０厘米行距和６０—３０厘米隔行行距。拖拉机的摇臂轴控制阀门通过一个高度控制阀门与一个提升油缸连接，用于提升组件并提供自动高度控制。
带有出料门的行间单元,一种摘棉机行间单元包括一个特殊构形的检修门，该门以枢轴连接在单元前结构柱上以致即使门未闩锁上，门向前推动撞在相邻棉花作物行上时也会使门关闭。前枢轴还可使后面的收割结构更为不受限制地被接近。门具有偏斜横截面因而由门限定的棉花通道在顶端宽而在底部窄而对朝着出料区域导入输送通道的棉花提供汇集作用。偏斜横截在加强了门并增大了邻行棉花容纳空间使得种在窄距行上的棉花在收割时将作物损伤和棉花丢失减低到最小。
作业机械的显示装置,本发明公开了一种作业机械的显示装置，它的控制装置（100）根据作业状态有选择地、自动地转换显示在作业机械的显示装置（1）上的图像运行信息。运行时间、动力装置（E）的转速以及动力装置（E）的负荷。该装置还设有机械是否处在实际作业状态的检测装置（101），当上述动力装置（E）的转速低于设定转速时，显示时间信息；否则检测机械是否处在作业状态，若是则显示负荷信息，不是则显示转速信息。$＃!
具有轮式行走系统和脱粒分离装置的自走式联合收割机,一种具有轮式行速系统和脱粒分离装置的自走式联合收割机，该联合收割机具有轮式行走系统和相对行进方向为横向安装且按轴流系统工作的脱粒分离装置。$＃!
联合收割机的收割谷秆输送装置,用于联合收割机的收割谷秆输送装置，为了易于消除夹持输送收割谷秆的根茎部的第1、第2根茎输送装置（11L、11R）的汇合部（30）处的谷杆等的堵塞，在第1根茎输送装置（11L）的输送终端部的转换该第1根茎输送装置（11L）的环状输送带的方向的方向转换体（16B），能通过凸轮（23）在相对前述第2根茎输送装置（11R）的接近位置（p1）和分离位置（p2）之间进行位移。$#!
联合收割机,一种联合收割机，由具有履带走行装置（1）、驾驶部（2）、发动机（4）的走行部（A）及具有收割部（a）、脱粒部（b）、谷粒收容部（c）的作业部（B）构成，为在维持良好操纵感觉的情况下能根据贮留在谷粒收容部（c）中的谷粒量的增减良好地维持机体左右重量的平衡，设有使前述走行部（A）与前述作业部（B）在机体的左右方向相对移动的相对移动机构（15）。$#!
联合收割机,利用弹性变形使下部夹压弹性棒(56)(57)压在下部输送机(24)(25)上，不需要为了象以往那样压紧所用的弹簧。在机体前侧收割部(8)设置谷秆扶禾部(30)、切断株根的割刀(10)、以卧姿支持谷秆进行输送的输送机构(11)，在机体后侧脱粒部(4)设置脱粒滚筒(5)，在上述联合收割机上，其特征在于：设置下部输送机(24)(25)和下部夹压弹性棒(56)(57)，用于夹持谷秆根侧进行输送，将下部夹压弹性棒前端部固定在收割架(58)上，使下部夹压弹性棒后端侧接触脱离自如地弹性地压在下部输送机上。$#!
全喂入式谷物联合收割机,从驾驶部(5)观察，可以很好地形成由谷物联合收割机的切割前处理部(8)组成的作物茎杆割茬视野，向切割前处理部(8)和送料器(6)传递动力的第1动力传动机构(100)以挟着送料器(6)的方式，面向驾驶部(5)设置。并且，为了易于维修，给脱粒装置(3)传递动力的第2动力传动机构(200)以挟着脱粒装置(3)的方式，向着集粮箱(4)设置。
玉米青饲收获机秸秆收割、切碎复合滚筒,本发明提供一种玉米青饲收获机秸杆收割、切碎复合滚筒，包括壳体、固定在壳体内壁上的定刀、壳体两端的侧板和壳体内由动力带动旋转的动刀滚体组成，壳体的前下方设有水平入口，其后上方设有水平出口，动刀滚体包括主轴、安装在主轴上的多个动刀盘，与主轴上的动刀盘对应，多把定刀经定刀固定板水平安装在壳体的前上方，特征在于：动刀盘上安装有多把呈一定后倾角的动刀，且从左到右动刀盘上的动刀依次迟后一定角度，动刀与定刀组合形成对秸杆的多面切割。本发明通过动刀与定刀的巧妙组合实现对秸杆的收割和多面切割，切碎效率高，且工作过程中受力均匀，结构简单，造价低，性能优良，便于推广应用。
联合收割机,一种联合收割机，在机体前侧的收割部上设有拉入未割谷秆的扶起部、切断未割谷秆根部的割刀和把收割了的谷秆以横倒姿势支承并加以运送的运送机构，在机体后侧的脱谷部上设有对从收割部供来的谷秆进行脱粒的脱粒滚筒、和将落到该脱粒滚筒下方的脱谷物的谷粒和草屑分离、取出的分选机构，其特征在于，在安装行走履带的机台前部直立地设置支点台，该支点台用支轴支承收割部的转动支点轴，该支点台上端部朝前向下方倾斜并能开闭自如。
联合收割机,一种联合收割机，其扶禾主体(21)不需要压力加工，容易降低制造成本而且与压力加工相比提高了刚性(强度)。在机体前侧收割部(8)设置谷秆扶禾部(30)、切断株根的割刀(10)、以卧姿支持谷秆进行输送的输送机构(11)，在机体后侧脱粒部(4)设置脱粒滚筒(5)，在上述联合收割机中，其特征在于：输送谷秆的谷穗侧的许多突起(76)设置在无端形的链条(77)上，上述链条(77)安装在扶禾主体(21)上用来输送谷杆，同时，用扁平形的平板(78)(79)和四角柱形的方料(80)(81)形成上述扶禾主体(21)。
联合收割机,本发明的目的是使驾驶座的安装构造简单化，提高前面罩的开闭操作性。在机体前侧的收割部，设有切断未收割谷秆根部的割刀和把收割了的谷秆以横倒姿势支承并运送的运送机构，在机体后侧的脱谷部，设有对从收割部供给来的谷秆进行脱粒的脱粒滚筒，其特征在于，在内设空气滤清器的后面罩的前方，设有前面罩，将驾驶座安装在该前面罩上，通风罩一体地连设在前面罩机外侧，将通风罩下端可绕支点轴在机外转动地安装在机台上。
联合收割机的脱谷分选装置,一种联合收割机的脱谷分选装置，沿脱谷筒8下部配置绉纹网64，在绉纹网64的前后方向中途配置左右方向的分隔板125，使该分隔板125的谷杆的谷穗通过的部分降低，可防止在脱谷筒的脱谷中谷穗被切碎；在摆动本体83前后方向中途部后方配设的左右平行状的若干个金属箔翅片87中，在脱谷筒8的终端部下方位置后方的几个翅片87的上部，固设着略朝水平方向突出的防刺板88，可使脱谷后的谷粒及秸屑不在途中阻塞堆积，能顺利地流动。
联合收割机的收割部,现有的联合收割机收割部，备有挟持收割后谷杆根部运送的纵运送体和运送谷杆谷穗的上部运送体，虽然能根据杆长度转动纵运送体的后部，但是与长谷杆相应地把纵运送体转动到最大限时，其运送姿势容易紊乱。为此，本发明的联合收割机收割部中，在位于最大转动位置的纵运送体41的正上方，设置前低后高的导引体54，由该导引体54压住谷杆的中途部并进行导引。
切断装置及圆锯刀片,一种切断装置(C)，包括：低速旋转刀片(21)、大高速旋转刀片(40、41)和小高速旋转刀片(12)，从侧面看低速旋转刀片(21)与大高速旋转刀片(40、41)的各刀片缘相重合，另外，在谷杆切断尺寸较短的场合，低速旋转刀片(21)与小高速旋转刀片(12)重合。其中，高速旋转刀片(40、41)相对于高速旋转轴(11)的相对配置是，在用于输送谷杆径部分的区域，配置外周带有凹部(40b)的高速旋转刀片(40)，在用于输送穗部分的区域，配置外周无凹部的高速旋转刀片(41)。
联合收割机的防尘构造,现有联合收割机中，在机身前部的左右一方配置驾驶部，在该驾驶部的略侧方配置收割部，将谷杆运送到该收割部后方的脱谷分选装置。因稻品种不同，在收割运送时产生大量的尘埃，使作业环境恶化，必须清扫堆积的尘土。本发明的联合收割机，用罩(152、153)覆盖收割部(6)前部的扶起装置的侧部及上部，用防尘布(155)覆盖该罩(152、153)后面中的与驾驶座(10)相对侧，在设有驾驶座(10)的驾驶部的收割部侧的侧部，立设防尘罩(162)。
灌木切割设备,当驱动源(21)的转数已经低于一预定值的时候，离合器运动元件(45；85)在离合器弹性元件(46)作用下与离合器鼓(31；81)脱开，因此使得离合器鼓(31；81)在制动弹性元件(36)作用下弹性地滑动回到一预定制动位置，在该位置制动蹄片(33；83)压靠所述制动垫(35)以施加制动作用。当该源装置(21)的转数已经增加到超过一预定值的时候，离合器运动元件(45；85)在离心力作用下径向朝外地滑动，其方式是，离合器运动元件(45；85)克服制动弹性元件(36)的偏压，对离合器鼓(31；81)施压并使离合器鼓(31；81)轴向滑动到非制动位置，从而使制动蹄片(33；83)与制动垫(35)脱开以解除制动作用。
联合收割机,本发明的目的是利用支承大重量的架台(116)安装张力调节轴(117)，确保张紧辊(115)的支承强度并使支承结构简单化。本发明的联合收割机中，在机体前侧的收割部(8)设有拉入未割谷秆的扶起部(30)、切断未割谷秆根部的割刀(10)和把收割了的谷秆以横倒姿势支承并加以运送的运送机构(11)，在机体后侧的脱谷部(4)设有对从收割部(8)供给来的谷秆进行脱粒的脱粒滚筒(5)，还设有将发动机(17)的动力传给左右行走履带(1)的变速箱(56)，其特征在于，通过架台(116)把装着脱谷部(4)的机台(3)安装在行走机架(2)上，通过驱动链轮(112)和张紧辊(115)把行走履带(1)张设在行走机架(2)上，把设置张紧辊(115)的张力调节轴(117)可滑动自如地穿过上述架台(116)。
用于给一种收割机卷筒的捡拾杆定向的凸轮轨道,一收割机台座的捡拾卷筒，它有其上可转动支承卷筒轴的卷筒支承结构。还有：多个径向臂装在卷筒轴上，多个杠杆轴装在径向臂上。杠杆轴与卷筒轴平行但为偏置。每个杠杆轴安装径向捡拾杆。在邻近杠杆轴端处的支承结构上安装凸轮。凸轮确定一环状凸轮轨道。凸轮轨道被设计得可使捡拾杆的姿态相对地面发生改变。凸轮是分段的，用可拆卸紧固件连接一起，从而一凸轮分段能被拆下和更换。这有利于凸轮轨道调整和维修。
收割机的驾驶部结构,一种收割机的驾驶部结构，包括设置于行走机体(2)前部的驾驶席(40)，以及立设于该驾驶席(40)前方的前面板设置部(F)，上述前面板设置部(F)包括脚挡板(41)，以及设置于该脚挡板(41)的顶部的主操纵盘(42)，在上述驾驶席(40)与上述前面板设置部(F)之间，形成有坐于上述驾驶席(40)上的作业人员的膝部可进入的空间(S)。在确保良好的操作性能的同时，减缓坐着的作业人员的膝部和脚脖子部分的约束感。
联合收割机,联合收割机，它可长期保持适应的除尘功能，可容易地存放到车库中和进行卡车运输。其特征是，设有向驱动收割部8和脱谷部4的发动机21供气的空气滤清器201，设有向空气滤清器201供气的预除尘器203，预除尘器203设于供气管202上端，而供气管202可自由收放地立设于发动机21上方的高处。
