名称,摘要
一种改进的全喂入混流式穗部脱粒机,一种改进的全喂入混流式穗部脱粒机，特别适用于稻穗、麦穗脱粒、请选用。它由机架、喂入工作台、导草螺旋、脱粒滚筒、脱粒筛板筛、导草螺旋、导草滚筒、飞溅谷粒收集室、清选装置、输粮螺旋、出料口等组成。喂入方法是横向喂入，具有脱净率高、夹带率低，脱出谷物与杂物分高效果好，含杂量少、结构筒单、成本低的优点。可单独使用，也易于和联合收割机配套用。
联合收割机,一种由流式农业联合收割机，该收割机具有限定一条转子轴线的单件转子。该转子安装在具有一个进料部分、一个脱粒部分和一个分离部分的转子壳体内。该转子壳体的上述三个部分分别地限定了一条进料轴线，一条脱粒轴线和一条分离轴线。该进料轴线与该转子轴线相平行并且与其成一直线。该脱粒轴线与该转子轴线相平行并且与其相偏离。该脱粒轴线在该转子轴线上方沿下游方向与其相偏离。该分离轴线与该转子轴线相平行并且与其相偏离。该分离轴线在该转子轴线上方沿下游方向与其相偏离。该分离轴线与该转子轴线的偏离大于该脱粒轴线与该转子轴线的偏离。
联合收割机,在设有将脱谷装置４排出的排秸用排秸链３４和与排秸链３４相对的夹持导轨３５夹住并传送的排秸传送装置２３的联合收割机上，排秸链３４可在靠近夹持导轨３５的传送状态和离开夹持导轨３５的维护状态之间摇动。排秸链的摇动轴芯与设置在其传送终端侧的驱动链轮３０的转动轴芯为同一轴芯。这样，即使秸在排秸链３４和夹持导轨３５间堆积，也可比较简单将其消除，提供了维护性能好的联合收割机。$＃!
谷物储存袋,一种谷物储存袋，其顶部提手分别缝制在袋体的前纤维部和后纤维部，各提手的两个端部向下，各提手的提手部向上。提手部不突出于谷物袋的顶边上面。一个底部提手缝在袋的底边部分的中心处的底部提手，其位于顶部提手的垂直相反的位置。$#!
脱谷装置的筛箱构造,一种脱谷装置的筛箱构造，其构成如下：装在筛箱（6）上的颗壳筛（16）由各筛板（16A）构成，而各筛板（16A）取可绕侧面轴芯（P3）自由摇动的形式连接在一起联动、并使颖壳筛（16）可调节开度；在这种脱谷装置的筛箱构造中，设置有加力件（Z），向关闭侧对上述筛板（16A）组施加弹力，可根据上述颖壳筛（16）上所载的被处理物的重量改变其开度。$#!
联合收割机械中的脱粒机,本发明涉及通过夹持住割下作物的茎杆部，将其穗端运送到脱粒滚筒和凹板之间而进行脱粒处理的联合收割机械，其主要目的在于提供结构紧凑的脱粒机及提供高效率的脱粒处理，可达到不易产生不良脱粒现象，同时，即使作物水分高也不发生凹板堵塞现象。为实现这个目的，本发明具有下述特征：凹板(20)是通过沿脱粒滚筒(3)的圆周方向的多个纵条构件(23)和沿脱粒滚筒的轴芯(3a)的方向的多个横条构件(24、25)组合成栅格凹板而构成的，纵条构件(23)从横条构件(24、25)向脱粒滚筒(3)方向突出，而且，大部分纵条构件(23)，相对脱粒钉齿(3c)的各前端的转动轨迹(T)，偏离脱粒滚筒的轴芯(3a)的方向。$#!
联合收割机的脱粒装置,使进行脱粒物筛选处理的摇动筛选盘的筛选性能提高。在脱粒室22下方配备了摇动筛选盘25的联合收割机的脱粒装置中，在摇动筛选盘25的前部上下二段式地配设前后输送盘26，27，并在前输送盘26的后端配设筛选线28，同时，在前输送盘26的下方配设向该筛选线28产生筛选风作用的前级风扇31。
联合收割机,在分选室38内设置使谷粒落到下方且使茎稿屑从后方送出的摆动分选盘39、将谷粒输送出来的输送机48、51、以及供给分选风的风车叶片45，在上述脱粒滚筒的下方设置该分选室38，同时，设置将发动机的动力传递到上述分选室38的各部的分选驱动轴63，使上述的脱粒滚筒和该分选驱动轴63经脱粒驱动带76相连接。可达到简化脱粒滚筒5驱动构造及降低制造成本的效果。
联合收割机,一种联合收割机，在行驶底盘1上、上下配备滚筒室31和风选部7，在前方设置收割部10，将在收割部10收割的全部秸秆供给到滚筒室31内，进行脱谷处理，其特征是：在收藏且支承在滚筒室31内的脱粒滚筒5的周面上，缠绕有从秸秆供给口32一侧向茎秆排出侧输送的螺旋体29，使该螺旋体29的外周缘与承网6具有适当的间隔，且在该螺旋体29上设有突出于上述外周缘的滚筒钉齿73。
联合收割机的脱粒分选装置,联合收割机的脱粒分选装置，在侧部罩体181前部固定设置着倾斜状的、下端朝向分选室的内侧的脱粒滚筒流下板210的上部，在送尘口处理滚筒21的下部沿前后方向固定着处理滚筒侧流下板211的上部，用连接臂连接第一闸门和第二闸门，通过使抵接销287抵接连接臂而使第三闸门摆动，在风车后部的风路上左向方向地配置着多个倾斜状的风向板270、270…。该脱粒分选装置可提高联合收割机的脱粒、分选性能，可调整风车和前置风扇的分选风的风量。
