名称,摘要
向日葵油用种“内葵杂二号”制种方法,利用油用向日葵胞质雄性不育三系配制杂交种及制种技术。选育不育系76-64A作母本，保持系76-64B作父本杂交繁制不育系。用不育系76-64A作母本，恢复系内5作父本杂交，配制杂交种，以及相配套的制种技术和高产栽培技术，配制的杂交种“内葵杂二号”具有含油量较高，抗逆性较强，适应性广，丰产、稳产性好；并还有生长整齐，抗倒，耐病，适合单种、间套种和机械化栽培等优点。
小麦化学杀雄配制杂种的方法,小麦化学杀雄配制杂种的方法，采用化学杀雄、选配强优组合、适期播种、调节花期、适宜行比、人工辅助授粉、去杂去劣措施，用研制的ES、EK化学杀雄剂，在母本抽穗前期喷药，可以获得不育率95-100％的杀雄效果，异交结实率可达75-80％以上。制种田亩产200-240公斤，用本发明配制的杂交小麦“化优1-6号”优势明显，一般亩产500-550公斤，比对照品种增产20-30％。
大葱核胞质雄性不育三系制种方法,大葱核胞质雄性不育三系制种方法，属于大葱杂种优势利用领域，本发明是根据大葱的细胞核与细胞质的不育性是由Ｓｍｓｍｓ×Ｎｍｓｍｓ的隐性不育基因互作控制的遗传学原理，采用雄性不育系、保持系和父本系三系配套的方法来配制杂交种的。它比之长期沿用至今的常规集团混合繁种法，具有制种产量高、省工、成本低、种性稳定、纯度高、少污染、杂种一代商品增产显著和受市场欢迎等优点，增产幅度在５０％以上，是一种理想的大葱制种技术。
质核互作雄性不育大豆及生产大豆杂交种的方法,本发明属植物育种领域及产生杂种大豆植物的方法；其特征是利用控制一个核恢复基因影响不育性。提供了一个细胞质雄性不育大豆植物，通过引入一个位于核恢复基因座位上的显性位点，该细胞质雄性不育大豆即能恢复可育。大豆细胞质雄性不育系的保持，是通过与一个含有可育细胞质基因、核恢复基因座位为隐性位点的雄性可育等位系杂交实现的。以细胞质雄性不育系为母本，与核恢复基因座位为显性恢复位点的雄性不育恢复系杂交，可生产杂种大豆。播种从母本植株上收获的种子，可产生可育的Ｆ１植株。
一种利用两系法培育亚种间杂交稻组合的方法,一种利用两系法培育亚种间杂交稻的方法，包括安全隔离、适期播种、合理密植、适宜行比、调节花期、合理使用“９２０”、人工辅助授粉、防治粒黑粉病、去杂去劣配套措施，其特征在于利用灿粳中间型且具广亲和性的低温敏不育系培矮６４Ｓ作母本，与籼稻品种９３１１作父本杂交配组成，从而利用亚种间杂种优势。$#!
玉米单交种的制种方法,一种玉米杂交种的制种方法，用自交系７９２２或者７９２２姊妹种作母本，用Ｓ３７作父本配制雅玉二号杂交种。用７９２２作母本，Ｓ３７作父本配制出的雅玉二号，１９９２—１９９３年参加西南七省区域，平均亩产４７１．３kg，比对照增产２２．５％，居第一位。用７９２２姊妹种作母本，Ｓ３７作父本配制出的雅玉二号，其制种产量提高５０％，杂交种产量持平，没有显著差别。
一种培育玉米新品种的方法,本发明利用遗传学原理，根据基因的分离和独立分配规律，把两个不同类单隐性基因纯合体玉米杂交，在F1植株所结果穗上选择双隐性基因纯合体籽粒经多代种植直至稳定。再取双隐性基因纯合体或按上法类推获得的多隐性基因纯合体为一亲本与单隐性或多隐性基因纯合体或其它非隐性基因纯合体为另一亲本杂交，即可获得生产用的杂交种。该杂交种果穗上的不同籽粒分别含有不同的基因组合，使多基因所控制的优良性状同时表现，达到改良玉米胚乳品质及农艺性状之目的。
一种玉米杂交制种的方法,本发明涉及植物育种领域，具体地说本发明是一种玉米杂交制种的方法。本发明是以自交系DH65232作母本、自交系DH8723作父本杂交育成杂交种或者以自交系DH65232作父本，自交系DH8723作母本杂交育成杂交种。试验证明，本发明提供的杂交种产量高、抗性好、适应性强。
甘蓝型油菜隐性核不育制种方法,甘蓝型油菜隐性核不育三系选育及制种技术，本发明选育出隐性核不育临时完全保持系，实行隐性核不育纯合两用系、TAM系、恢复系三系配套制种，从而解决了隐性核不育制种难题，提高制种效率，制种产量提高40-60％，省工省时，提高制种纯度，制种简便，易于推广应用。
建立洋葱的雄性不育无性系和保持系的方法,本发明涉及一种利用植物组织培养方法建立洋葱雄性不育无性系的方法及在此技术的基础上建立洋葱的雄性不育无性系和保持系的方法，此方法是利用植物组织培养方法将洋葱雄性不育单株扩繁为雄性不育无性系，用雄性不育无性系与同一品种洋葱的可育鳞茎球株进行繁殖获得洋葱的不育系和保持系，利用植物组织培养方法可获得不育率为93.5-97.5％的洋葱不育系和保持系。
繁殖韭菜母本和杂交种的方法,本发明涉及一种用植物组培法繁殖多年生韭菜的雄性不育系母本和杂交种的方法，其特点是利用植物组织培养法，将韭菜的雄性不育单株扩繁为雄性不育无性系，用雄性不育无性系与用种子繁殖的其它韭菜品种，配育出优良的杂交种，此方法能在发现不育株后快速建成不育系的无性系，不用为不育系找保持系，雄性不育遗传稳定，能在多品种中快速建成不育系群体。
德日系列萝卜的育种方法,一种德日系列萝卜的育种方法，属于杂种优势利用技术领域。其特征在于以西德青皮萝卜为父本，日本大白皮萝卜为母本杂交，同时用改变种植气象条件促进变异，保护地栽培，春化处理，一年两季繁育等方法，选育出产量高、抗病抗逆力强，生长迅速，耐贮运，商品性好的德日系列萝卜新品种，并按不同成熟期，不同用途和特性分德日一号、德日二号、德日三号、德日四号、德日五号等系列萝卜新品种，适宜华北、华东、西南、西北、中南地区种植，有严格的原种生产程序，不易退化。
分子标记技术在快速鉴定杂交稻种真伪和纯度方面的应用,分子标记技术在鉴定杂交稻种真伪和纯度方面的应用，就是将RAPD标记经克隆、测序后设计出稳定的PCR引物，进而利用SCAR标记可在1～2天内对水稻杂交组合/品种的种子进行真实性和纯度鉴定，其准确度与种植鉴定的准确度一样可靠。本发明可直接应用于杂水稻不同组合及其亲本的真实性和纯度的鉴定。
一种玉米杂交制种方法,本发明属玉米杂种优势利用领域。本发明的主要内容：包括选育自交系，以196为父本，登海4866为母本配制而成玉米杂交种登海一号。本发明的杂交组先播母本，当母本出苗一叶一心时播父本，亦可反交，196为母本，登海4866为父本，将父本浸种6～8小时与母本同期播种，父∶母＝1∶3～4。本发明的优点(1)高产、稳产：1997年国家黄淮海玉米区试，24处试验23处增产，亩产542.8公斤，比掖单二号增产22.85％，居首位。(2)抗逆性强：抗大、小叶斑病、青枯病好于掖单四号、郑单14号。(3)优质：籽粒品质优良，经农业部谷物品质监督检验测试中心测定，含氨基酸9.92％，粗蛋白10.81％，粗脂肪4.46％，粗淀粉71.87％。
水稻种子直链淀粉含量低的水稻植株的筛选方法,本发明提供了一种种子直链淀粉含量低或中等的水稻植株的筛选方法，该方法是用DNA序列分析方法鉴定水稻蜡质基因第一内含子中供体+1位的碱基，然后挑选该位碱基为T的水稻植株。所述DNA序列分析方法包括PCR-酶切方法、严谨条件下Southern杂交方法和PCR-测序法。该方法在水稻苗期即可选择用于回交的目标单株，减少了盲目性，也无需等待植株结籽后测定直链淀粉的表型，避免了遗传分离与基因剂量效应对育种选择的影响，减轻了工作量，大大增加了育种效率。
邓恩桉组培育苗方法,邓恩桉组培育苗方法属于植物组织培养方法。本发明选择优良单株为材料，选取其腋芽做外植体，外植体经HgCl<SUB>2</SUB>消毒后用CaCl<SUB>2</SUB>清洗，初培养与继代培养，扩繁培养的培养基均为MS+BA+IBA，生根培养基为MS+IBA+NAA+活性炭，从初培养、继代培养到生根培养，光照强度分别采用1000Lux，2500Lux与1500Lux，试管苗在生根培养基中培育25天左右移栽至黄心土与糠壳灰的混合基质中培育，本发明解决了试管苗繁殖系数低的问题，实现了优质邓恩桉苗木的规模化生产。
杂交鹅掌楸体细胞胚胎发生与植株再生方法,本发明涉及一种杂交鹅掌楸体细胞胚胎发生与植株再生方法。鹅掌楸属种间杂交在生长、抗逆性和观赏性方面具有明显的优势。但鹅掌楸天然结实率低，有性繁殖能力差；扦插技术要求高，成活率也很低，不能满足生产应用的需要。本发明的特征是在鹅掌楸属杂交亲本选择和种间杂交育种的基础上，分别将正交、反交和回交制种所得数量有限的未成熟胚进行体细胞胚胎发生的诱导和培养，形成大量同步发育的体细胞胚，进而将体细胞胚培育成为完整的植株。利用本发明所提供的方法，可实现杂交鹅掌楸苗木的大规模、短周期、高繁殖率、低成本的工厂化生产和产业化开发。
杂交水稻制种方法,本发明提供一种杂交水稻制种方法，包括：根据父母本播始历期及其开花历期安排父母本播种叶差和时差并培养父母本，使父母本的盛花期同步，施用肥料和化学药剂创造最佳异交态势；在母本柱头外露敏感期对母本进行诱导和用化肥增强父本花粉的生活力；在父本散粉高峰期进行人工辅助授粉。
含除草剂敏感基因的水稻恢复系的制备方法,本发明公开一种将水稻除草剂敏感(致死)基因转移到籼型水稻恢复系中的方法，用农林8号M系分别与自选恢复系杂交，采用系谱法选育，自F<SUB>2</SUB>代起，逐代喷施苯达松，筛选敏感株并用三系或两系不育系进行测交，种植测交F<SUB>1</SUB>和相应的敏感恢复系，观察F<SUB>1</SUB>的经济性状和父本的敏感程度，进行混播制种，授粉后喷施除草剂，杀死父本，进行机械化收割，不仅大大减轻了农民的劳动强度，减少操作程序，降低种子的成本。
一种防治害虫的方法,一种防治亚洲玉米螟为害玉米的方法，其通过种植在其体内可表达CryIAb蛋白的转基因抗虫玉米植物，特别是抗虫玉米品系MON810，从而使摄取该植物组织的亚洲玉米螟的取食和生长受到抑制，并最终导致死亡。所述方法对亚洲玉米螟的防治是全植株的和全生育期的，不因种植时间、种植地点等的改变而改变。并使抗虫玉米的产量明显提高，同时改善了其籽粒性状和茎秆性状的表现。所述方法效果好，具有简单、方便、经济和对环境不产生污染等优点。
一种水稻新不育系的培育方法,本发明涉及一种水稻新不育系的培育方法，其特征是以粳稻BT型核质互作雄性不育系的细胞质为新不育系的细胞质供体，用含有雄性不育保持基因的粳稻光敏核不育系作为新不育系的保持系。其优点表现在：在夏季长日或海南冬春季短日适宜温度(日最高气温小于32℃)环境下，均能表现出完全的雄性不育，避免了BT型不育系高温自交结实和光敏核不育系低温自交结实导致制种失败的风险，使粳型杂交稻种子生产更为安全。
易识别蓖麻单雌系诱变保持法,本发明是一种植物品种生产方法，即一种易识别蓖麻单雌系诱变保持法。目前，蓖麻因去雄困难而不能通过人工去雄来配制杂交种，本方法是通过<SUP>60</SUP>C<SUB>or</SUB>射线使蓖麻产生变异，获得一种带有明显标志的蓖麻单雌系及其保持系，从而为大面积推行蓖麻杂交技术提供了条件。
