名称,摘要
挤奶机的挤奶杯衬套和具有该衬套的挤奶杯组件,本发明涉及一种用于家畜，如奶牛和山羊挤奶的挤奶杯衬套，此衬套(1)包括：动物的乳头(70)可以插入其中的孔(8)；用于排出家畜奶的出口(6)；具有环形壁(7，107)的乳头接合部分(10)；具有较薄内壁(13，113)的可收缩部分(12)；用于密封挤奶杯外壳(32)的密封结构(60，66)，所有的可收缩部分(12)位于二者之间，因此可以向挤奶杯组件(30)施加真空压力从而给动物挤奶。从孔(8)到可收缩部分(12)收缩的点(76)的距离足够大，使得可收缩部分(12)能离开动物的乳头(70)完全彻底地收缩。可收缩部分(12)有长形截面，在乳头接合部分(10)和可收缩部分(12)之间是一个逐渐变薄的部分(17)，逐渐变薄部分具有外壁和内壁(11，111)，其沿截面短轴的厚度逐渐变薄的程度比沿截面长轴平缓，因此当可收缩部分(12)收缩时，逐渐变薄部分(17)可以轻柔地挤压乳头(70)。
一种用于接收乳头的装置,一种装置(1)，例如一个乳头衬管，用于接收乳头，它包括零件(2)，该零件是围绕着用于接收所述乳头的管道的一层柔性薄壁，其中该壁在朝向管道方向上具有内侧面并在远离管道方向上具有外侧面。壁的外侧面上具有大量的表面扩大物(3)，其形状、尺寸和分布使得它们对壁外侧面上的裂纹的扩展形成了阻碍。
冷却罐,提供能够一边冷却如牛奶(牛奶)那样的保存温度接近0℃或在其之下的饮料等的液体、一边贮藏的罐。冷却罐(1)是一边贮藏牛奶进行冷却、一边搭载于卡车等上可以进行运输的物品。其特征在于，将凝固点在0℃以下的盐水(防冻液)在冷却器(34)中冷却，使该盐水沿设置于罐主体(10)的壁面上的流体引导部件(14·18)的内部的流路，无淤塞地流动。作为冷却器(34)，例如，使用通过在使用致冷剂的热力泵型的冷冻机(30)中的蒸发器可以冷却盐水的物品。由于使用了凝固点在0℃以下的盐水，所以无需大型的冷却用水槽，另外，由于该盐水无淤塞地流动，所以使有效地冷却内部的液体成为可能。
用于挤奶设备的气动式脉动器,一种用于挤奶设备的气动式脉动器，该脉动器的结构主体具有刚性框架结构，基底形成该刚性框架结构的第一侧，第二侧和第三侧由侧壁形成，第四侧由刚性横向件形成。配设有刚性U形件，该U形件横跨该滑阀，该U形件具有两个支腿，这两个支腿支撑在滑板上。该U形件经由球形铰链被压靠在板上，该球形铰链位于与该板垂直的轴线上并相对于该U形件的支腿对中。该结构主体和该U形件由不受环境气候变化影响的合成材料制成。解决了现有脉动器寿命短的问题。
乳制品及制法,本发明提供一种制造干酪的新方法，该方法包括制备可以按有序的连续流动过程分解成小凝乳颗粒的凝结物，将该凝乳颗粒与乳清分离，随后加热该凝乳颗粒并机械加工成干酪块。
流体流量计量仪及使用该计量仪用于计量流体流率的方法,"用于计量流体流率的仪器包括壳体、电传感器组和处理装置。壳体
包括分隔壁，其将壳体分成计量腔和流出腔，并含有让流体从计量腔自
由流入流出腔的槽。传感器包括最接近基底的参考传感器和公共传感器，
计量传感器位于计量腔内。计量传感器通常在垂直阶梯连续体上间隔开，
从基底实际伸展到分隔壁的顶端。处理装置根据预编程序处理数据，其
包括计量最接近仪器基底流体和多个流体水平面的电参数，并标准化结
果。标准值可以与流体的流率相互关联。"
挤奶设备,"本发明涉及挤奶装置的设备和组件，尤其是抽奶设备。特别地，
本发明涉及设备例如衬套(20)的组件。所述新颖的设备包括选自以下
的材料：热塑性弹性体，如ISO 18064中定义的，增塑PVC，乙烯基TPE，
所述材料具有如下性能：在25肖氏A和50肖氏D之间的硬度；在0.1MPa
和50MPa之间的杨氏模量；高于0.5MPa的拉伸强度；和在不破坏情况下
最小50％的伸长率。"
自动挤奶机传送装置,"一种导轨(4)上配备有接合部(3j)、转向器(6)和一种自移动
路径设置机构T。分轨(3)在接合部向相对于主轨(2)初始位置(Pa、
Pb、Po)的下游(2d)弯曲，以使它们与主轨(2)交汇。可将转向
器(6)切换到主轨(2)相对于接合部(3j)的上游部分(2u)和下
游部分(2d)连接处的分离位置(Xn)，或切换到主轨(2)的下游部
分(2d)和分轨(3)连接处的结合位置(Xc)。自移动路径设置机构
(T)为自动从初始位置(Pa、Pb、Po)移动的一台或多台挤奶机(5a，
5b)设置自移动路径，在分担载荷的方式下，任何一台挤奶机(5a、
5b)都可以沿着路径顺序进入所有分轨，然后挤奶机(5a，5b)从导
轨(4)中间或端部返回它们的初始位置(Pa、Pb、Po)。"
挤奶杯衬套和挤奶杯,"本发明涉及一种挤奶杯衬套和挤奶杯。该挤奶杯衬套(1)安装在挤
奶杯的壳体(2)中并且限定了用于容纳乳头的内部空间(3)。该挤奶杯
衬套包括形成筒状部分的第一部件(12)。第一部件包括第一周缘部分
(15)、第一连接环(16)和限定了开口(4)的唇缘(17)。第二部件包
括第二周缘部分(18)和第二连接环(20)。通过连接环的相互接合，第
一部件可以与第二部件连接，从而实现挤奶杯衬套。至少一个连接环邻
接另一个部件周缘部分，以便在两部件之间形成密封邻接。"
用于实验动物的自动挤奶装置,本发明提供一种用于实验动物的自动挤奶装置以进行全自动的挤奶操作，该自动挤奶装置能简化并稳定挤奶机杯(20)的定位。装接到用于实验动物的挤奶机杯(20)上的第一奶管(12)的一端装接到挠性臂(A)的自由端上，挠性臂的一端固定到适当的基座(乳汁收集容器支架(B))上。挠性臂(A)包括层叠体(40)，层叠体(40)包括长构件(41)和钢板构件(42)，该长构件(41)由挠性的且在挠曲后能维持形状的材料制成(例如，铅板)，该层叠体(40)由包覆构件(50)包覆，这些构件相互接触使得在它们整体地挠曲时它们相对于彼此滑移，挠性臂(A)包括在一端形成的固定部(53)，固定部(53)防止各构件的相对移动。挠性臂(A)的末端在定位后不发生移位。
