"patent_id","名称","申请号","摘要"
"10001395","特窄型多功能套播机","CN85107119","特窄型多功能套播机属农业机械。是播种机中专用于套种的一种，它需要解决在中小地块上普通麦行间套种多种农作物的技术问题，主要技术特征是播量调节器安装在排种器内。可以在普通麦行间套播旱稻、谷子、芝麻、玉米、豆类等作物，并且不影响小麦的正常生长。还可以在晚茬棉花地、菜地套种小麦、大麦、油菜等。还可用于玉米、棉花、甘蔗等地的中期追肥，早稻地套播晚稻以及农业科学试验地的播种。"
"10053252","旱育种子包衣剂","CN96117076.X","一种具有壮苗壮根功能的旱育种子包衣剂，是采用中性粉状高倍吸水材料与农用化学品和细土制成的用于农作物种子包衣的粉状物，通过滚团的方法，包在种子外表面，播种后，对苗不仅具有壮根、保蘖、灭菌、治虫的效应，而且在苗的根部形成蓄水囊，增大秧苗根盘带土量，保证了秧苗根部供水。"
"10065250","棉种直热干燥脱绒设备","CN96111345.6","一种棉种直热干燥脱绒设备，它由机架、喂料控制器、搅拌器、输送搅龙、烘干机、提升器、摩擦机和螺旋除尘器等部分组成，在喂料控制器与搅拌器之间设有过量酸供给装置，在搅拌器与输送搅龙之间设有推进式离心机，在螺旋除尘器与烘干机、摩擦机之间设有能够燃烧废绒的直热式热风炉。本发明结构合理、工作可靠，能够降低棉种加工成本，提高棉种加工质量。"
"10068819","插秧机构","CN96101497.0","本发明提供一种有使第１中间齿轮（３１）和第２中间齿轮（３２）不等速联动的偏心曲柄式的不等速运动传递机构（Ｄ）、设有随着回转箱（１０）的回转、插秧爪（１２）的前端部描绘出大致呈椭圆轨迹（Ｔ＃-[１]）的、使插秧爪支承体（１３）和回转箱（１０）相对回转驱动的回转动力传递机构（Ｓ）的插秧机构。其中的齿轮支轴（５０）设有一端支承在回转箱（１０）上而另一端支承第１中间齿轮（３１）的第１支轴部（５１）、一端支承在回转箱（１０）上而另一端支承第２中间齿轮（３２）的第２支轴部（５２）、使第１支轴部（５１）和第２支轴部（５２）偏心地连接的连接轴部（５３）。第１中间齿轮（３１）和第２中间齿轮（３２）通过上述齿轮支轴（５０）而支承在回箱（１０）里。"
"10068924","乘坐型移栽机","CN96121843.6","乘坐型移栽机，它具有机罩（１８）罩住的水冷式发动机主体（３１），其动力部分（１９）是由上述发动机主体（３１）、用发动机主体（３１）驱动的冷却风扇（３２）、被上述风扇冷却的散热器（３３）构成，该动边部（１９）设置于驾驶台（１７）的前方，上述发动机主体（３１）和上述散热器（３３）配置在乘坐型移栽机的载人行走机体（１）的横向位置上。在机体的前部设置发动机的支撑架（３０），在此支撑架（３０）上形成上下方向贯穿的开口（３０Ｋ），在此开口（３０Ｋ）上安装上述发动机主体（３１）下部的一部分。"
"10074156","仓转式中耕作物播种施肥机","CN97115176.8","一种中耕作物播种施肥机，能够点播种籽和穴施肥料。其能够种植粒径大而形状和尺寸不均匀的种籽，并可很好地完成不易流动肥料的施放工作。播种和施肥机构相同，都是在旋转容器上沿周线安装排出器。排出器是由按直线排列的三个匡形体组合而成，且联通。处于中间的匡形体与旋转容器联通，其内设有能够摆动的排出舌，排出舌能将所在匡形体与另一匡形体的联通口关闭，待其摆到另一端时隔开与旋转体的联通口。$＃!"
"10076163","带有秧苗栽植装置的插秧机","CN97105490.8","一种轻型、紧凑的带有秧苗栽植装置的插秧机，其中秧苗栽植装置的进给箱由接受行走机体来的动力的输入轴、横向进给轴、将来自输入轴的动力变速并传至横向进给轴的横向进给变速机构以及将来自输入轴的动力传至栽植传动箱的输出轴构成。横进给轴上支承着接受输入轴的动力并能驱动回转的驱动体，与此驱动体连动的从动体与输入轴可相对转动地装配于输入轴一端；从动体的轴部伸到进给箱的外部，驱动秧苗纵进给机构用的纵进给轴可连接到所述突伸的轴部上。"
"10107898","手扶式秧苗移植机","CN98102701.6","本发明提供一种使秧苗供给作业方便的手扶式秧苗移植机，其构成为：在左右行走车轮5、5的传动装置后侧，设置在田地里栽种秧苗的秧苗种植装置6，在该秧苗种植装置6的上侧设置用人工一棵棵地供给秧苗的秧苗供给部7，在该秧苗供给部7的后侧设置操纵把手8，在上述秧苗供给部7的附近设置秧苗装载盘34F、34R，同时在上述行走车轮5的后侧、即上述秧苗供给部7的侧面设置有供操作者进行秧苗供给作业的空间。"
"10125718","顶出式定向排种机","CN00120636.2","本发明为一种顶出式定向排种机。机架1上有种箱2和动力装置3。种箱2内有排种筒4与动力装置连接，其壁上有通孔6与种子颗粒仿形但大于种粒，孔6沿轴向在排种筒上以周长线为中线排列成若干周行，排种筒内壁以上述周长线为中线开有凹槽7，简芯8位于排种筒4内与其动配合并与机架固连，其下部排种位置与凹槽7配合处有径向盲孔9，盲孔9内有弹簧10和滑块11，其一部分可进入通孔6内。结构简单，制造容易，使用方便，排种精度高，适用于非球形种子的单粒排种。并能实现玉米的定向播种。"
"10126840","差速分插机构","CN99120522.7","一种差速分插机构，链轮箱内的三个主动链轮分别驱动与轴固结的高速链轮和与两个滑套固结的低速链轮，滑套和轴以差速转动，输出不同转速，低速套驱动齿轮盒，高速轴驱动齿轮盒内的中心椭圆齿轮，使行星椭圆齿轮作不等速转动，与行星椭圆齿轮固结的一对栽植臂部件在齿轮盒圆周运动和椭圆齿轮的不等速转动的合成运动下，满足插秧轨迹要求，齿轮盒旋转一周，插秧两次，可用于高速插秧作业。优化参数后，可用于南方双季稻及北方单季稻插秧作业。"
"10163526","步行式插秧机的摆动箱","CN97125505.9","步行式插秧机，该步行式插秧机由变速箱、插秧部、摆动箱及行走轮构成。在前述摆动箱(25)内配置着多个减速机构，例如在摆动箱(25)内设置两级减速机构，在摆动箱内，在变速箱(4)的行走输出轴和车轴间的大致中间处设有减速轴(60)，第一减速机构的行走输出轴(47)上的链轮(56)和第二减速机构的减速轴上的链轮(63)的齿数相同，第一减速机构的减速轴上的链轮(62)和第二减速机构的车轴上的链轮(64)的齿数相同。该步行式插秧机减轻了侧离合机构的操作力。"
