"patent_id","名称","申请号","摘要"
"10005128","施用植保药剂的设备和方法","CN86101756.0","在拖拉机等车辆头部横装一洒施器装置，此装置有一横放的水平进口支管，其上方配置一出口支管，两支管之间安装多根向前向侧倾斜并有弯折的杆。在田间行进时，使植保药剂从出口支管流出，沿着每根杆外表面流动形成液膜，并沾到与杆相碰的植物上。余下的药剂由杆的下端流入进口支管，并被泵回贮药罐，以便再次供给出口支管。泵的吸入侧设有控制阀，以防止空气进入泵。"
"10080522","电池驱动的杀虫剂发散器","CN95115038.3","一种电池驱动的杀虫剂发散器包括一个与杀虫剂相接触的发热板；及一个用电池的加热装置；为了发散杀虫剂而把发热板的表面加热到90至130℃的温度，其中的加热装置包括一个电池，该电池连接到一个由热塑性聚烯烃树脂和碳的混合物制成的正温度系数热元件（有机PTC）上；其中的杀虫剂是一种环丙烷羧酸酯拟除虫菊酯，它在20℃时的蒸汽压为1．0×10<SUP>－4</SUP>mmHg或更高。$#!"
"10092209","盘绕昆虫烟熏剂","CN97195612.X","本发明公开了一种具有加大的外层部分(11)的蚊虫盘卷，用于在事先没有昆虫控制成分的空间实现昆虫控制成分的快速分布。所述的盘卷含有尿素从而使其具有更高的耐破损性，含有煤油和花生壳粉末从而改善了所述盘卷的点燃和燃烧特性。"
"10094238","蚊香的熏烟器","CN96194855.8","一种蚊香的熏烟器，具有用来熏烧蚊香的容器本体，及借铰链而能对容器本体枢动开闭自如且在闭盖状态下能保持密闭的盖体，容器本体的内部复设有用来保持蚊香的保持构件。保持构件具有一对不燃性网状垫片可将蚊香夹于其间，如此可防止灰烬飞扬散落及蚊香掉出器外酿成灾害等危险发生。"
"10098517","一种烟草害虫插签防治方法","CN99114331.0","一种烟草害虫插签防治方法，其特征是具有步骤：a、药浸法制备药签，取具有吸附性、一端尖锐的载体签，将其浸入在内吸性治虫药液中，数分钟后取出；治虫药液是以农药氧化乐果或吡虫啉和相关溶剂混合制得，其浓度为0.5％-2％；b、插签治虫，烟草大田团棵期后任何时候，将上述步骤中制得的药签到插入烟茎即成。本发明治虫效果好、成本低、不造成环境污染。"
"10108553","用于害虫监视或防治的方法和设备","CN97194223.4","提供一般在地上设施中对害虫进行监视和防治的方法及设备，具体地说，提供了对那些生活在聚集地内并通过化学信号来沟通的诸如白蚁之类的有害群居昆虫进行监视和防治的方法及设备。包括：害虫可食用的基质；多个可更换的外罩(12)，每个外罩均限定了一可夹持基质(16)的内部腔室(15)；这样的装置，它用于以可拆卸的方式将各外罩连接于至少另一个外罩，从而所述内部腔室会设置成通过限定在外罩上的开孔彼此相通连；用于在害虫附近将至少一个外罩安装至一安装表面的装置，从而，所述外罩可彼此相分离、可重新设置、可拆除、补充和重新安装，同时，能将所述基质设置在具有较严格空气运动和受控水份蒸发的环境内。"
"10111290","带有双向或多向光图像的飞虫诱捕器","CN97193671.4","一种使用引诱光的昆虫诱捕器(400)，包括一个昆虫引诱光源和一个箱体(404)，该箱体能安装在基本上平面的或平坦的安装面上。箱体(404)和光源合作形成双向或多向(重叠或不重叠)昆虫引诱光图像。箱体包括一个、两个或多个用于昆虫引诱光(401)的开口，昆虫引诱光被反射或辐射到平坦安装面上。箱体和昆虫引诱光源能合作形成一种光图像，该光图像指向环绕箱体的连续显示图像。箱体开口还促使飞行害虫进入诱捕器。随着昆虫进入诱捕器，它们被禁锢在一个装在诱捕器中的昆虫止动面上。直接辐射光、反射光与箱体和昆虫止动面的位置之间的合作形成至少两个(最好是不重叠的)光显示，该光显示比起先有技术来能显著地提高捕捉率。该诱捕器还能显示一种基本上环绕诱捕器箱体的光图像。"
"10131691","昆虫控制器","CN97110069.1","一种昆虫控制器，其中它至少有一种无需加热的易挥发的杀虫剂或驱虫化合物装在具有至少一个通孔的支承件上，无需加热的易挥发的杀虫剂或驱虫化合物的使用能够保证令人满意的昆虫控制效果。如果昆虫控制器上采用特殊的结构，例如折叠结构，在不使用期间可减少易挥发的杀虫剂或驱虫化合物的浪费性蒸发。"
"10138819","防草网","CN00108474.7","防草网属于一种防止杂草生长的塑料网，由高密度耐老化材料制成的黑色经丝和纬丝编织而成，经丝和纬丝宽度1-10毫米，网孔面积0.01-2平方毫米。防草网覆盖于地表，农作物穿透网种植于地面，既能防止杂草生长，又不影响农作物生长，且使用寿命长。"
"10143245","用于昆虫防治的造雪方法及造雪装置","CN99808502.2","本发明涉及一种用于将一种介质(1)如二氧化碳或其它气体或者其混合物转变成雪(2)的方法。根据本发明，上述介质(1)和由其形成的雪(2)能够与从介质(1)的排放孔(3)延伸出的造雪喷嘴(4<SUP>2</SUP>)上的表面相互作用。上述介质(1)在从排放孔(3)排出之后能够膨胀至一个具有相同横截面的细长空间中。或者介质(1)还能够作用在位于介质(1)的排放孔(3)与所形成雪(2)的出口(12)之间的介质流动路径上的多个障碍物(10、11)上，这些障碍物为柔性硬毛的形式。所产生的二氧化碳雪(2)用于净化小的有害动物。在本发明中还包括造雪(2)的装置。"
