code,describe
0111,"['稻谷', '种植', '稻谷', '种植', '早籼稻', '种用', '早籼稻', '早籼稻', '籼稻', '籼稻', '籼稻', '籼稻', '种用', '籼稻', '籼稻', '粳稻', '种用', '粳稻', '粳稻', '糯稻', '种用', '糯稻', '糯稻', '稻谷', '稻谷', '壳', '稻谷', '秸', '稻谷']"
0112,"['小麦', '种植', '小麦', '种植', '硬质小麦', '种用', '硬质小麦', '硬质小麦', '软质', '小麦', '种用', '软质', '小麦', '软质', '小麦', '小麦', '种用', '小麦', '小麦', '小麦', '麦秸', '小麦']"
0113,"['玉米', '种植', '玉米', '种植', '玉米', '种用', '白', '玉米', '玉米', '黄玉米', '种用', '黄玉米', '黄玉米', '糯玉米', '种用', '糯玉米', '糯玉米', '甜玉米', '种用', '甜玉米', '甜玉米', '玉米', '玉米秸', '玉米']"
0119,"['谷物', '种植', '谷物', '种植', '谷子', '谷子', '糯', '谷子', '谷子', '高粱', '红粒', '高粱', '种用', '红粒', '高粱', '红粒', '高粱', '白粒', '高粱', '种用', '白粒', '高粱', '白粒', '高粱', '糯', '高粱', '种用', '糯', '高粱', '糯', '高粱', '高粱', '种用', '高粱', '高粱', '大麦', '大麦', '种用', '裸', '大麦', '大麦', '皮', '大麦', '种用', '皮', '大麦', '皮', '大麦', '燕麦', '裸燕麦', '皮', '燕麦', '黑麦', '荞麦', '荞麦', '苦荞麦', '作物', '茎', '秆', '部分', '稻草', '谷壳', '谷子', '秸', '高粱', '秸', '谷物', '莜麦', '元麦', '青稞', '糜子', '糜子', '糯', '糜子', '黍子', '紫米', '薏苡', '谷物', '豆类', '油料', '薯类', '种植']"
0121,"['豆类', '种植', '豆类', '种植', '大豆', '黄大豆', '大豆', '青', '大豆', '红', '大豆', '双', '青豆', '青仁乌', '豆', '黑豆', '大豆', '绿豆', '绿豆', '绿豆', '绿豆', '毛', '绿豆', '种用', '毛', '绿豆', '毛', '绿豆', '小豆', '红小豆', '小豆', '狸', '小豆', '小豆', '干', '豌豆', '豌豆', '种用', '白', '豌豆', '豌豆', '豌豆', '种用', '绿', '豌豆', '豌豆', '麻', '豌豆', '种用', '麻', '豌豆', '麻', '豌豆', '干', '蚕豆', '种用', '干', '蚕豆', '干', '蚕豆', '芸豆', '种用', '芸豆', '芸豆', '饭豆', '种用', '饭豆', '饭豆', '干', '豇豆', '种用', '干', '豇豆', '干', '豇豆', '鹰嘴豆', '种用', '鹰嘴豆', '鹰嘴豆', '豆类蔬菜', '部分', '豌豆', '蚕豆', '豆秸', '杂豆', '种用', '杂豆', '杂豆']"
0122,"['油料', '种植', '油料', '种植', '花生', '带', '壳', '花生', '种用', '带', '壳', '花生', '带', '壳', '花生', '花生仁', '油菜籽', '油菜籽', '油菜籽', '油菜籽', '油菜籽', '种用', '油菜籽', '油菜籽', '葵花籽', '油葵', '用油', '葵', '油葵', '食葵', '种用', '食葵', '食葵', '芝麻', '白芝麻', '种用', '白芝麻', '白芝麻', '黑芝麻', '种用', '黑芝麻', '黑芝麻', '芝麻', '种用', '黄', '芝麻', '芝麻', '胡麻', '籽', '种用', '胡麻', '籽', '胡麻', '籽', '棉籽', '种用', '棉籽', '棉籽', '蓖麻', '籽', '种用', '蓖麻', '籽', '蓖麻', '籽', '芥子', '种用', '芥子', '芥子', '红花', '籽', '种用', '红花', '籽', '红花', '籽', '罂粟', '子', '作物', '茎', '秆', '部分', '花生', '蔓', '油菜籽', '秆', '芝麻', '秆', '向日葵', '秆', '油料']"
0123,"['薯类', '种植', '薯类', '种植', '马铃薯', '种用', '马铃薯', '马铃薯', '木薯', '鲜', '木薯', '木薯', '干', '木薯', '甘薯', '种用', '甘薯', '甘薯', '干', '鲜', '甘薯', '薯藤', '薯类', '棉', '麻', '烟草', '种植']"
0131,"['棉花', '种植', '棉花', '种植', '籽棉', '棉花', '秆', '棉花']"
0132,"['麻类', '种植', '麻类', '种植', '亚麻', '苎麻', '黄红麻', '线麻', '苘麻', '大麻', '剑麻', '麻秆', '生麻']"
0133,"['糖料', '种植', '制糖', '甘蔗', '甜菜', '种植', '糖料', '种植', '甘蔗', '甜菜', '糖料']"
