code,describe
011,"['种用', '高粱', '小麦', '籼稻', '大麦', '稻谷', '糯玉米', '谷子', '甜玉米', '谷物', '硬质小麦', '糯稻', '红粒', '白粒', '粳稻', '早籼稻', '软质', '荞麦', '农作物', '谷壳', '裸燕麦', '籽实', '玉米秸', '薏苡', '黍子', '莜麦', '麦秸', '稻草', '青稞', '作物', '食用', '人类', '部分']"
012,"['种用', '豌豆', '油菜籽', '绿豆', '小豆', '芝麻', '白芝麻', '木薯', '饭豆', '花生', '蚕豆', '杂豆', '鹰嘴豆', '食葵', '薯类', '芸豆', '大豆', '油料', '甘薯', '芥子', '棉籽', '黑芝麻', '豇豆', '蓖麻', '红花', '马铃薯', '油葵', '豆类', '豆秸', '葵花籽', '青豆', '用油', '向日葵', '罂粟', '黑豆', '部分', '作物']"
013,"['糖料', '烟草', '棉花', '烟叶', '麻类', '甜菜', '甘蔗', '未加工', '线麻', '籽棉', '生麻', '烟秆', '麻秆', '肋烟', '苘麻', '大麻', '剑麻', '苎麻', '亚麻', '制糖']"
014,"['种球', '蔬菜', '种苗', '盆栽', '种子', '花卉', '芥菜', '园艺产品', '食用菌', '园艺作物', '水果', '草坪', '晚香玉', '马蹄莲', '风信子', '菜薹', '观叶', '叶菜类', '切枝', '果类', '花卉种子', '切叶', '菊苣', '火鹤', '散尾葵', '唐菖蒲', '植物', '鸢尾', '花叶', '美人蕉', '葱蒜', '生菜', '莴苣', '草皮', '扁豆', '水仙', '根茎', '草草', '百合', '白菜', '菊花', '水生', '龟背竹', '佛手瓜', '苜蓿草', '青花菜', '仁果', '树花', '草种', '三色堇', '毛豆', '菜心', '猴头菌', '香葱', '豌豆苗', '西葫芦', '牛蒡', '龙血树', '亮丝', '薤菜', '变叶木', '滑菇', '柠挑', '结球莴苣', '芥蓝', '鸡腿菇', '茶树菇', '老芒', '黄秋葵', '竹芋', '花烛', '绿萝', '箭舌豌豆', '披碱', '木耳菜', '瓜菜', '结球', '独尾草', '蒜苔', '草木犀', '茼蒿', '水萝卜', '四季豆', '莼菜', '空心菜', '莴笋', '松茸', '金针菜', '平菇', '豆芽菜', '小白菜', '花椰菜', '球根', '毛茛', '金针菇', '竹材', '锦鸡儿', '草菇', '蒜苗', '红萝卜']"
015,"['水果', '葡萄', '苹果', '竹材', '林产品', '仁果', '核果', '亚热带', '果酒', '农户', '一体', '香蕉', '瓜类', '芒果', '产品', '龙眼', '菠萝', '柑橘', '莲雾', '火龙果', '葡萄籽', '苹果梨', '冬果', '柚类', '杏核', '酥梨', '纳格', '番石榴', '鳄梨', '金瓜', '红果', '柚子', '沙棘', '鸭梨', '金冠', '黑莓', '国光', '木瓜', '草莓', '枇杷', '柿子', '柠檬', '山楂', '猕猴桃', '橄榄', '石榴', '樱桃', '荔枝', '玫瑰', '雪花', '葡萄酒', '部分']"
016,"['坚果', '油棕', '香料', '饮料', '含油', '作物', '椰子', '种用', '精加工', '竹材', '清茶', '茶叶', '林产品', '调味', '香味', '麝香草', '咖喱', '原料', '留兰香', '蒿子', '番红花', '开心果', '锥栗', '八椒', '可可豆', '小茴香', '咖啡豆', '豆蔻', '香榧', '果酒', '腰果', '山核桃', '油橄榄', '铁观音', '桂皮', '啤酒花', '普洱茶', '松子', '白果', '榛子', '香精', '花椒', '槟榔', '棕榈', '橄榄', '精制', '板栗', '绿茶', '核桃', '农户', '咖啡', '一体', '产品']"
017,"['中药材', '槐米', '锁阳', '地黄', '除虫菊', '山茱萸', '肉苁蓉', '川芎', '白芍', '白术', '半夏', '杀虫', '生地', '五味子', '枸杞', '罂粟', '杀菌', '党参', '茯苓', '天麻', '黄芪', '甘草', '菊花', '人参', '药材', '中药', '作物', '植物', '目的', '农业']"
019,"['饲料作物', '作物', '苜蓿', '林产品', '中药材', '牧草', '饲料', '农作物', '青饲料', '席草', '竹材', '农业', '羊草', '杀虫', '野生植物', '苇子', '副产品', '莲子', '干草', '杀菌', '染料', '芦苇', '种子']"
021,"['树苗', '种子', '灌木', '竹苗', '榛树', '针叶', '阔叶', '树种', '苗类', '小檗', '枫树', '杉树', '桦树', '夹竹桃', '樟树', '楠木', '荔枝', '果树', '绿竹', '淡竹', '红壳', '穗条', '水竹', '桦木', '沙棘', '棕榈', '新品种', '遗传学', '柑橘', '葡萄', '苹果', '人为', '原理', '核心', '植物', '材料']"
022,"['造林', '迹地', '人工', '森林', '荒沙', '低产', '经济林', '荒山', '荒地', '林地', '火烧', '土地', '方式']"
